Date,Open,High,Low,Close,Adj Close,Volume
2000-02-17,5.937500,5.937500,5.937500,5.937500,3.732400,265600
2000-02-18,6.325000,6.325000,6.325000,6.325000,3.975988,230256
2000-02-21,6.956250,6.956250,6.956250,6.956250,4.372802,157216
2000-02-22,7.650000,7.650000,7.650000,7.650000,4.808903,219552
2000-02-23,7.687500,7.687500,7.687500,7.687500,4.832477,178944
2000-02-24,8.006250,8.006250,8.006250,8.006250,5.032847,210144
2000-02-25,8.437500,8.437500,8.437500,8.437500,5.303937,229472
2000-02-28,8.125000,8.125000,8.125000,8.125000,5.107496,210096
2000-02-29,7.506250,7.506250,7.506250,7.506250,4.718539,92368
2000-03-01,7.537500,7.537500,7.537500,7.537500,4.738184,54144
2000-03-02,8.125000,8.125000,8.125000,8.125000,5.107496,72896
2000-03-03,8.093750,8.093750,8.093750,8.093750,5.087851,121904
2000-03-06,7.875000,7.875000,7.875000,7.875000,4.950342,95216
2000-03-07,7.562500,7.562500,7.562500,7.562500,4.753900,74080
2000-03-08,7.512500,7.512500,7.512500,7.512500,4.722468,57760
2000-03-09,7.781250,7.781250,7.781250,7.781250,4.891409,72560
2000-03-10,8.068750,8.068750,8.068750,8.068750,5.072136,111664
2000-03-13,8.068750,8.068750,8.068750,8.068750,5.072136,0
2000-03-14,7.187500,7.187500,7.187500,7.187500,4.518169,47424
2000-03-15,7.187500,7.187500,7.187500,7.187500,4.518169,0
2000-03-16,7.187500,7.187500,7.187500,7.187500,4.518169,0
2000-03-17,7.112500,7.112500,7.112500,7.112500,4.471023,67056
2000-03-20,6.437500,6.437500,6.437500,6.437500,4.046707,31360
2000-03-21,5.812500,5.812500,5.812500,5.812500,3.653824,42720
2000-03-22,5.812500,5.812500,5.812500,5.812500,3.653824,0
2000-03-23,5.812500,5.812500,5.812500,5.812500,3.653824,0
2000-03-24,5.812500,5.812500,5.812500,5.812500,3.653824,0
2000-03-27,5.687500,5.687500,5.687500,5.687500,3.575247,58208
2000-03-28,6.256250,6.256250,6.256250,6.256250,3.932771,37424
2000-03-29,6.250000,6.250000,6.250000,6.250000,3.928843,24192
2000-03-30,5.687500,5.687500,5.687500,5.687500,3.575247,28032
2000-03-31,5.131250,5.131250,5.131250,5.131250,3.225580,36112
2000-04-03,4.618750,4.618750,4.618750,4.618750,2.903415,27472
2000-04-04,4.168750,4.168750,4.168750,4.168750,2.620538,46784
2000-04-05,3.756250,3.756250,3.756250,3.756250,2.361234,100912
2000-04-06,4.125000,4.125000,4.125000,4.125000,2.593036,53296
2000-04-07,4.468750,4.468750,4.468750,4.468750,2.809122,28784
2000-04-10,4.915625,4.915625,4.915625,4.915625,3.090035,36384
2000-04-11,4.431250,4.431250,4.431250,4.431250,2.785549,19408
2000-04-12,4.375000,4.375000,4.375000,4.375000,2.750190,7264
2000-04-13,4.306250,4.306250,4.306250,4.306250,2.706972,15408
2000-04-14,4.243750,4.243750,4.243750,4.243750,2.667684,9968
2000-04-17,4.000000,4.000000,4.000000,4.000000,2.514459,27328
2000-04-18,4.243750,4.243750,4.243750,4.243750,2.667684,29904
2000-04-19,4.312500,4.312500,4.312500,4.312500,2.710901,32320
2000-04-20,4.300000,4.300000,4.300000,4.300000,2.703044,7264
2000-04-21,4.300000,4.300000,4.300000,4.300000,2.703044,0
2000-04-24,4.300000,4.300000,4.300000,4.300000,2.703044,0
2000-04-25,4.281250,4.281250,4.281250,4.281250,2.691257,20592
2000-04-26,4.243750,4.243750,4.243750,4.243750,2.667684,22880
2000-04-27,4.056250,4.056250,4.056250,4.056250,2.549819,21200
2000-04-28,3.750000,3.750000,3.750000,3.750000,2.357305,44416
2000-05-01,3.750000,3.750000,3.750000,3.750000,2.357305,0
2000-05-02,3.512500,3.512500,3.512500,3.512500,2.208009,28608
2000-05-03,3.437500,3.437500,3.437500,3.437500,2.160864,31264
2000-05-04,3.687500,3.687500,3.687500,3.687500,2.318017,18144
2000-05-05,3.750000,3.750000,3.750000,3.750000,2.357305,24128
2000-05-08,4.125000,4.125000,4.125000,4.125000,2.593036,23248
2000-05-09,4.125000,4.125000,4.125000,4.125000,2.593036,0
2000-05-10,3.875000,3.875000,3.875000,3.875000,2.435882,9728
2000-05-11,4.062500,4.062500,4.062500,4.062500,2.553748,9376
2000-05-12,4.053125,4.053125,4.053125,4.053125,2.547854,18496
2000-05-15,3.878125,3.878125,3.878125,3.878125,2.437847,7600
2000-05-16,3.868750,3.868750,3.868750,3.868750,2.431953,17232
2000-05-17,3.868750,3.868750,3.868750,3.868750,2.431953,9600
2000-05-18,3.868750,3.868750,3.868750,3.868750,2.431953,16432
2000-05-19,3.750000,3.750000,3.750000,3.750000,2.357305,13200
2000-05-22,3.437500,3.437500,3.437500,3.437500,2.160864,13408
2000-05-23,3.437500,3.437500,3.437500,3.437500,2.160864,32704
2000-05-24,3.437500,3.437500,3.437500,3.437500,2.160864,57568
2000-05-25,3.456250,3.456250,3.456250,3.456250,2.172650,15856
2000-05-26,3.437500,3.437500,3.437500,3.437500,2.160864,13440
2000-05-29,3.437500,3.437500,3.437500,3.437500,2.160864,14592
2000-05-30,3.187500,3.187500,3.187500,3.187500,2.003710,17488
2000-05-31,3.187500,3.187500,3.187500,3.187500,2.003710,33136
2000-06-01,3.250000,3.250000,3.250000,3.250000,2.042998,4992
2000-06-02,3.575000,3.575000,3.575000,3.575000,2.247298,16480
2000-06-05,3.575000,3.575000,3.575000,3.575000,2.247298,0
2000-06-06,4.187500,4.187500,4.187500,4.187500,2.632325,53360
2000-06-07,3.875000,3.875000,3.875000,3.875000,2.435882,12496
2000-06-08,3.768750,3.768750,3.768750,3.768750,2.369092,4432
2000-06-09,3.687500,3.687500,3.687500,3.687500,2.318017,8272
2000-06-12,3.687500,3.687500,3.687500,3.687500,2.318017,0
2000-06-13,3.687500,3.687500,3.687500,3.687500,2.318017,5184
2000-06-14,3.625000,3.625000,3.625000,3.625000,2.278729,6784
2000-06-15,3.593750,3.593750,3.593750,3.593750,2.259084,8800
2000-06-16,3.593750,3.593750,3.593750,3.593750,2.259084,11504
2000-06-19,3.593750,3.593750,3.593750,3.593750,2.259084,0
2000-06-20,3.443750,3.443750,3.443750,3.443750,2.164791,7184
2000-06-21,3.475000,3.475000,3.475000,3.475000,2.184436,13152
2000-06-22,3.250000,3.250000,3.250000,3.250000,2.042998,14496
2000-06-23,3.193750,3.193750,3.193750,3.193750,2.007638,3392
2000-06-26,3.200000,3.200000,3.200000,3.200000,2.011567,16624
2000-06-27,3.200000,3.200000,3.200000,3.200000,2.011567,1280
2000-06-28,3.200000,3.200000,3.200000,3.200000,2.011567,6432
2000-06-29,3.062500,3.062500,3.062500,3.062500,1.925133,35280
2000-06-30,2.812500,2.812500,2.812500,2.812500,1.767979,11872
2000-07-03,2.637500,2.637500,2.637500,2.637500,1.657972,16704
2000-07-04,2.500000,2.500000,2.500000,2.500000,1.571537,47184
2000-07-05,2.500000,2.500000,2.500000,2.500000,1.571537,11616
2000-07-06,2.500000,2.500000,2.500000,2.500000,1.571537,3728
2000-07-07,2.500000,2.500000,2.500000,2.500000,1.571537,0
2000-07-10,2.532500,2.532500,2.532500,2.532500,1.591967,11552
2000-07-11,2.500000,2.500000,2.500000,2.500000,1.571537,26672
2000-07-12,2.500625,2.500625,2.500625,2.500625,1.571930,6512
2000-07-13,2.500000,2.500000,2.500000,2.500000,1.571537,15936
2000-07-14,2.500000,2.500000,2.500000,2.500000,1.571537,0
2000-07-17,2.500000,2.500000,2.500000,2.500000,1.571537,14480
2000-07-18,2.531250,2.531250,2.531250,2.531250,1.591181,18816
2000-07-19,2.531250,2.531250,2.531250,2.531250,1.591181,4080
2000-07-20,2.506250,2.506250,2.506250,2.506250,1.575466,6896
2000-07-21,2.531250,2.531250,2.531250,2.531250,1.591181,10800
2000-07-24,2.531250,2.531250,2.531250,2.531250,1.591181,0
2000-07-25,2.781250,2.781250,2.781250,2.781250,1.748335,5648
2000-07-26,2.968750,2.968750,2.968750,2.968750,1.866200,8448
2000-07-27,2.968750,2.968750,2.968750,2.968750,1.866200,0
2000-07-28,3.125000,3.125000,3.125000,3.125000,1.964422,32288
2000-07-31,3.187500,3.187500,3.187500,3.187500,2.003710,8864
2000-08-01,3.187500,3.187500,3.187500,3.187500,2.003710,8464
2000-08-02,3.187500,3.187500,3.187500,3.187500,2.003710,7584
2000-08-03,3.187500,3.187500,3.187500,3.187500,2.003710,12640
2000-08-04,3.187500,3.187500,3.187500,3.187500,2.003710,19312
2000-08-07,3.187500,3.187500,3.187500,3.187500,2.003710,6048
2000-08-08,3.187500,3.187500,3.187500,3.187500,2.003710,9792
2000-08-09,3.187500,3.187500,3.187500,3.187500,2.003710,0
2000-08-10,3.187500,3.187500,3.187500,3.187500,2.003710,3328
2000-08-11,3.187500,3.187500,3.187500,3.187500,2.003710,3984
2000-08-14,3.187500,3.187500,3.187500,3.187500,2.003710,15936
2000-08-15,3.187500,3.187500,3.187500,3.187500,2.003710,5056
2000-08-16,3.250000,3.250000,3.250000,3.250000,2.042998,6848
2000-08-17,3.187500,3.187500,3.187500,3.187500,2.003710,3280
2000-08-18,3.187500,3.187500,3.187500,3.187500,2.003710,1616
2000-08-21,3.187500,3.187500,3.187500,3.187500,2.003710,3248
2000-08-22,3.437500,3.437500,3.437500,3.437500,2.160864,17600
2000-08-23,3.625000,3.625000,3.625000,3.625000,2.278729,16608
2000-08-24,3.625000,3.625000,3.625000,3.625000,2.278729,0
2000-08-25,3.987500,3.987500,3.987500,3.987500,2.506601,15984
2000-08-28,3.590625,3.590625,3.590625,3.590625,2.257120,6832
2000-08-29,3.843750,3.843750,3.843750,3.843750,2.416239,7280
2000-08-30,4.062500,4.062500,4.062500,4.062500,2.553748,23008
2000-08-31,3.756250,3.756250,3.756250,3.756250,2.361234,16304
2000-09-01,3.762500,3.762500,3.762500,3.762500,2.365163,10944
2000-09-04,3.812500,3.812500,3.812500,3.812500,2.396594,11824
2000-09-05,3.812500,3.812500,3.812500,3.812500,2.396594,6608
2000-09-06,3.812500,3.812500,3.812500,3.812500,2.396594,4960
2000-09-07,3.812500,3.812500,3.812500,3.812500,2.396594,3232
2000-09-08,3.812500,3.812500,3.812500,3.812500,2.396594,12720
2000-09-11,3.887500,3.887500,3.887500,3.887500,2.443740,6368
2000-09-12,3.906250,3.906250,3.906250,3.906250,2.455527,6080
2000-09-13,3.812500,3.812500,3.812500,3.812500,2.396594,19392
2000-09-14,3.818750,3.818750,3.818750,3.818750,2.400523,5888
2000-09-15,3.812500,3.812500,3.812500,3.812500,2.396594,7936
2000-09-18,3.812500,3.812500,3.812500,3.812500,2.396594,11328
2000-09-19,3.781250,3.781250,3.781250,3.781250,2.376950,5648
2000-09-20,3.762500,3.762500,3.762500,3.762500,2.365163,6560
2000-09-21,3.437500,3.437500,3.437500,3.437500,2.160864,12608
2000-09-22,3.437500,3.437500,3.437500,3.437500,2.160864,4528
2000-09-25,3.200000,3.200000,3.200000,3.200000,2.011567,3152
2000-09-26,3.312500,3.312500,3.312500,3.312500,2.082287,43568
2000-09-27,3.250000,3.250000,3.250000,3.250000,2.042998,2832
2000-09-28,3.206250,3.206250,3.206250,3.206250,2.015496,12400
2000-09-29,3.250000,3.250000,3.250000,3.250000,2.042998,8896
2000-10-02,3.281250,3.281250,3.281250,3.281250,2.062643,13808
2000-10-03,3.250000,3.250000,3.250000,3.250000,2.042998,14624
2000-10-04,3.250000,3.250000,3.250000,3.250000,2.042998,18960
2000-10-05,3.250000,3.250000,3.250000,3.250000,2.042998,8400
2000-10-06,3.253125,3.253125,3.253125,3.253125,2.044962,5232
2000-10-09,3.253125,3.253125,3.253125,3.253125,2.044962,13632
2000-10-10,3.253125,3.253125,3.253125,3.253125,2.044962,7712
2000-10-11,3.253125,3.253125,3.253125,3.253125,2.044962,13264
2000-10-12,3.250000,3.250000,3.250000,3.250000,2.042998,36288
2000-10-13,3.218750,3.218750,3.218750,3.218750,2.023354,32912
2000-10-16,3.218750,3.218750,3.218750,3.218750,2.023354,9152
2000-10-17,3.250000,3.250000,3.250000,3.250000,2.042998,8480
2000-10-18,3.187500,3.187500,3.187500,3.187500,2.003710,5360
2000-10-19,3.118750,3.118750,3.118750,3.118750,1.960493,3152
2000-10-20,3.125000,3.125000,3.125000,3.125000,1.964422,3248
2000-10-23,2.812500,2.812500,2.812500,2.812500,1.767979,2640
2000-10-24,2.875000,2.875000,2.875000,2.875000,1.807268,4192
2000-10-25,2.812500,2.812500,2.812500,2.812500,1.767979,20176
2000-10-26,2.875000,2.875000,2.875000,2.875000,1.807268,6576
2000-10-27,2.875000,2.875000,2.875000,2.875000,1.807268,4976
2000-10-30,2.893750,2.893750,2.893750,2.893750,1.819054,3200
2000-10-31,2.893750,2.893750,2.893750,2.893750,1.819054,0
2000-11-01,2.868750,2.868750,2.868750,2.868750,1.803339,240
2000-11-02,2.875000,2.875000,2.875000,2.875000,1.807268,2464
2000-11-03,2.812500,2.812500,2.812500,2.812500,1.767979,2096
2000-11-06,2.893750,2.893750,2.893750,2.893750,1.819054,10224
2000-11-07,3.093750,3.093750,3.093750,3.093750,1.944777,6064
2000-11-08,3.125000,3.125000,3.125000,3.125000,1.964422,10240
2000-11-09,3.000000,3.000000,3.000000,3.000000,1.885844,4368
2000-11-10,3.090625,3.090625,3.090625,3.090625,1.942813,7056
2000-11-13,3.125000,3.125000,3.125000,3.125000,1.964422,14304
